
---------- Begin Simulation Statistics ----------
simSeconds                                   2.265165                       # Number of seconds simulated (Second)
simTicks                                 2265165489447                       # Number of ticks simulated (Tick)
finalTick                                2265165489447                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    349.86                       # Real time elapsed on the host (Second)
hostTickRate                               6474420558                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8661244                       # Number of bytes of host memory used (Byte)
simInsts                                     57545765                       # Number of instructions simulated (Count)
simOps                                       96519922                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164480                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     275878                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        169891660                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.952288                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.338720                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       117398553                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16741                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      117627122                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 179840                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             20895351                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31244366                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2559                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           167470374                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.702376                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.354079                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 115714060     69.10%     69.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22263933     13.29%     82.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12996445      7.76%     90.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6359849      3.80%     93.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3577930      2.14%     96.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4149146      2.48%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1810844      1.08%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    417098      0.25%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    181069      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             167470374                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   60022     30.09%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     30.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     32      0.02%     30.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     30.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    875      0.44%     30.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     30.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      5      0.00%     30.54% # attempts to use FU when none available (Count)
