
---------- Begin Simulation Statistics ----------
simSeconds                                   2.887859                       # Number of seconds simulated (Second)
simTicks                                 2887859108384                       # Number of ticks simulated (Tick)
finalTick                                2887859108384                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    450.47                       # Real time elapsed on the host (Second)
hostTickRate                               6410815900                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8636700                       # Number of bytes of host memory used (Byte)
simInsts                                    102100312                       # Number of instructions simulated (Count)
simOps                                      180762923                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   226654                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     401279                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        216594849                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.121393                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.471388                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       191929158                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2913                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      192426392                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10112                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11169137                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21685064                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           214175225                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.898453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.552143                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 138235135     64.54%     64.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  26495105     12.37%     76.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19645753      9.17%     86.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10156951      4.74%     90.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9370265      4.38%     95.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5058951      2.36%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3506071      1.64%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1299265      0.61%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    407729      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             214175225                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1298357     93.63%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     93.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     93.63% # attempts to use FU when none available (Count)
