
---------- Begin Simulation Statistics ----------
simSeconds                                   1.283722                       # Number of seconds simulated (Second)
simTicks                                 1283721532826                       # Number of ticks simulated (Tick)
finalTick                                1283721532826                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    217.15                       # Real time elapsed on the host (Second)
hostTickRate                               5911584074                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8650860                       # Number of bytes of host memory used (Byte)
simInsts                                     41538467                       # Number of instructions simulated (Count)
simOps                                       68109381                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   191284                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     313643                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         96281523                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.317888                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.431427                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        69902905                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    11910                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       71450231                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3863                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1805430                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2885604                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1007                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            96045226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.743923                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.254568                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  59778080     62.24%     62.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  19561706     20.37%     82.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6756098      7.03%     89.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4571142      4.76%     94.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3097120      3.22%     97.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1609813      1.68%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    503916      0.52%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    136946      0.14%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     30405      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              96045226                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15172      8.08%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.08% # attempts to use FU when none available (Count)
