
---------- Begin Simulation Statistics ----------
simSeconds                                   1.240350                       # Number of seconds simulated (Second)
simTicks                                 1240349617151                       # Number of ticks simulated (Tick)
finalTick                                1240349617151                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    234.68                       # Real time elapsed on the host (Second)
hostTickRate                               5285261627                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8624400                       # Number of bytes of host memory used (Byte)
simInsts                                     50082449                       # Number of instructions simulated (Count)
simOps                                       81419641                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   213407                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     346938                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         93028548                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.857508                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.538356                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        82470774                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2540                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       84141307                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3483                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1053665                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1973784                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 213                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            92850402                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.906203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.346871                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49584615     53.40%     53.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  25151485     27.09%     80.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6601210      7.11%     87.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4404405      4.74%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3930963      4.23%     96.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2439149      2.63%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    578290      0.62%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     97430      0.10%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     62855      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              92850402                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   11789     29.72%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     29.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     29.72% # attempts to use FU when none available (Count)
