
---------- Begin Simulation Statistics ----------
simSeconds                                   2.174330                       # Number of seconds simulated (Second)
simTicks                                 2174329627067                       # Number of ticks simulated (Tick)
finalTick                                2174329627067                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    416.33                       # Real time elapsed on the host (Second)
hostTickRate                               5222633266                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8657384                       # Number of bytes of host memory used (Byte)
simInsts                                     79414604                       # Number of instructions simulated (Count)
simOps                                      128127352                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190749                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     307754                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        163078800                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.053511                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.486971                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       154458536                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    95396                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      159408145                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 155171                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             26426569                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          49698848                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5005                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           162239358                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.982549                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.537882                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  96076668     59.22%     59.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  25064201     15.45%     74.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15884049      9.79%     84.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10390919      6.40%     90.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7321016      4.51%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4072159      2.51%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2501381      1.54%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    681776      0.42%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    247189      0.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             162239358                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  395586     26.08%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     26.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     26.08% # attempts to use FU when none available (Count)
