
---------- Begin Simulation Statistics ----------
simSeconds                                   3.158945                       # Number of seconds simulated (Second)
simTicks                                 3158944944402                       # Number of ticks simulated (Tick)
finalTick                                3158944944402                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    657.25                       # Real time elapsed on the host (Second)
hostTickRate                               4806299783                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8631544                       # Number of bytes of host memory used (Byte)
simInsts                                    111134811                       # Number of instructions simulated (Count)
simOps                                      195542812                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   169090                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     297516                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        236926795                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.131886                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.469068                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226434250                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   394927                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      235678452                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  64752                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             31286361                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          52258965                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2261                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           236063361                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.998369                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.615196                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 143013131     60.58%     60.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  33999073     14.40%     74.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  21177607      8.97%     83.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15176426      6.43%     90.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9309900      3.94%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6487293      2.75%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4662989      1.98%     99.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1754648      0.74%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    482294      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             236063361                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  456007     19.38%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    121      0.01%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      5      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     4      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     19.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     19.38% # attempts to use FU when none available (Count)
