
---------- Begin Simulation Statistics ----------
simSeconds                                  11.828575                       # Number of seconds simulated (Second)
simTicks                                 11828575224893                       # Number of ticks simulated (Tick)
finalTick                                11828575224893                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2038.77                       # Real time elapsed on the host (Second)
hostTickRate                               5801814111                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8697036                       # Number of bytes of host memory used (Byte)
simInsts                                    339320547                       # Number of instructions simulated (Count)
simOps                                      647914329                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166434                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317796                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        887165322                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.614535                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.382477                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       689962340                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   220088                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      731389683                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 401251                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             42268088                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          73720538                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13099                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           880772592                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.830396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.532983                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 587244707     66.67%     66.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 116160021     13.19%     79.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  66529483      7.55%     87.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  39757073      4.51%     91.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  25687602      2.92%     94.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22536624      2.56%     97.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15344778      1.74%     99.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4701151      0.53%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2811153      0.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             880772592                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1368110     62.21%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     62.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  56145      2.55%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      4      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     64.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     64.76% # attempts to use FU when none available (Count)
