
---------- Begin Simulation Statistics ----------
simSeconds                                   1.243285                       # Number of seconds simulated (Second)
simTicks                                 1243285477086                       # Number of ticks simulated (Tick)
finalTick                                1243285477086                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    218.02                       # Real time elapsed on the host (Second)
hostTickRate                               5702701201                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8633616                       # Number of bytes of host memory used (Byte)
simInsts                                     39050083                       # Number of instructions simulated (Count)
simOps                                       70583334                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   179115                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     323751                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         93248743                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.387927                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.418773                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        73092128                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3059                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       75521252                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6575                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2511849                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4870093                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 486                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            92952769                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.812469                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.497062                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  61286768     65.93%     65.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13923204     14.98%     80.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6634974      7.14%     88.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3699717      3.98%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3071740      3.30%     95.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2146530      2.31%     97.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1301466      1.40%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    706417      0.76%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    181953      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              92952769                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  103266     43.18%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     43.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    124      0.05%     43.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     43.23% # attempts to use FU when none available (Count)
