
---------- Begin Simulation Statistics ----------
simSeconds                                   1.139839                       # Number of seconds simulated (Second)
simTicks                                 1139839249973                       # Number of ticks simulated (Tick)
finalTick                                1139839249973                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    191.31                       # Real time elapsed on the host (Second)
hostTickRate                               5957966618                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8649404                       # Number of bytes of host memory used (Byte)
simInsts                                     37425243                       # Number of instructions simulated (Count)
simOps                                       59571022                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     311377                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         85490082                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.284289                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.437773                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        67117072                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    41362                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       70516564                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  62236                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7587401                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14960292                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2649                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            84987293                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.829731                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.430480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  54427102     64.04%     64.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12429553     14.63%     78.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7669610      9.02%     87.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3891637      4.58%     92.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3940129      4.64%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1129762      1.33%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1008369      1.19%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    315708      0.37%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    175423      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              84987293                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  171083     31.68%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     31.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     31.68% # attempts to use FU when none available (Count)
