
---------- Begin Simulation Statistics ----------
simSeconds                                   1.148615                       # Number of seconds simulated (Second)
simTicks                                 1148615190569                       # Number of ticks simulated (Tick)
finalTick                                1148615190569                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    205.93                       # Real time elapsed on the host (Second)
hostTickRate                               5577600564                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8634660                       # Number of bytes of host memory used (Byte)
simInsts                                     26850632                       # Number of instructions simulated (Count)
simOps                                       58839948                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   130385                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     285723                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         86148294                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.208427                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.311679                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        68905732                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3366                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       67228870                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  27230                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10069136                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          22734687                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 576                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            86007704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.781661                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.407211                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  57429590     66.77%     66.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11022410     12.82%     79.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6691258      7.78%     87.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5651579      6.57%     93.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2311687      2.69%     96.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1384604      1.61%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1024655      1.19%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    383859      0.45%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    108062      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              86007704                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  168174     64.21%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     64.21% # attempts to use FU when none available (Count)
