
---------- Begin Simulation Statistics ----------
simSeconds                                   1.015906                       # Number of seconds simulated (Second)
simTicks                                 1015906220000                       # Number of ticks simulated (Tick)
finalTick                                1015906220000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    492.53                       # Real time elapsed on the host (Second)
hostTickRate                               2062639930                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8706340                       # Number of bytes of host memory used (Byte)
simInsts                                     84313708                       # Number of instructions simulated (Count)
simOps                                      163423702                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171186                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     331806                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        507953111                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.024561                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.165987                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       167864038                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3203                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      172352956                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1428                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4443533                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5855907                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 382                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           460072972                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.374621                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.077775                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 388536899     84.45%     84.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  29532469      6.42%     90.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14838209      3.23%     94.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10740754      2.33%     96.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6772275      1.47%     97.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5222944      1.14%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3391402      0.74%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    934585      0.20%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    103435      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             460072972                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  299580     72.75%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     72.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     32      0.01%     72.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     72.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    108      0.03%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      2      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    16      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     72.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     72.79% # attempts to use FU when none available (Count)
