
---------- Begin Simulation Statistics ----------
simSeconds                                   1.361544                       # Number of seconds simulated (Second)
simTicks                                 1361544480537                       # Number of ticks simulated (Tick)
finalTick                                1361544480537                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    666.79                       # Real time elapsed on the host (Second)
hostTickRate                               2041942214                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625432                       # Number of bytes of host memory used (Byte)
simInsts                                    126524277                       # Number of instructions simulated (Count)
simOps                                      227139376                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189752                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340647                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        102118390                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.807105                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.238996                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       315676461                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2409                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      291871157                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 689497                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             88539415                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         122257091                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 167                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           102105549                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.858524                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.736450                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33218088     32.53%     32.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11699877     11.46%     43.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8347726      8.18%     52.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8962813      8.78%     60.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7981624      7.82%     68.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6105584      5.98%     74.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12518853     12.26%     87.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7148017      7.00%     94.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6122967      6.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             102105549                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8236167     92.61%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.61% # attempts to use FU when none available (Count)
