
---------- Begin Simulation Statistics ----------
simSeconds                                   2.065095                       # Number of seconds simulated (Second)
simTicks                                 2065095024667                       # Number of ticks simulated (Tick)
finalTick                                2065095024667                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    915.55                       # Real time elapsed on the host (Second)
hostTickRate                               2255590590                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8626500                       # Number of bytes of host memory used (Byte)
simInsts                                    124072083                       # Number of instructions simulated (Count)
simOps                                      208846626                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   135517                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     228112                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        154886000                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.248355                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.801054                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       516338493                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2404                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      425737615                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                6288916                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            307494173                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         552690737                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 209                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           154873506                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.748938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.929602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  72839271     47.03%     47.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4034497      2.61%     49.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4100201      2.65%     52.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6596805      4.26%     56.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13196977      8.52%     65.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  16248439     10.49%     75.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13572905      8.76%     84.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  16030520     10.35%     94.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8253891      5.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             154873506                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13003178     98.54%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.54% # attempts to use FU when none available (Count)
