
---------- Begin Simulation Statistics ----------
simSeconds                                   2.481602                       # Number of seconds simulated (Second)
simTicks                                 2481602131729                       # Number of ticks simulated (Tick)
finalTick                                2481602131729                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1051.61                       # Real time elapsed on the host (Second)
hostTickRate                               2359820791                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8681776                       # Number of bytes of host memory used (Byte)
simInsts                                    196714975                       # Number of instructions simulated (Count)
simOps                                      349347901                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   187061                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     332204                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        186124814                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.946165                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.056898                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       497086599                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1408018                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      454356826                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 732898                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            149146704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         209521902                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              367102                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           185391881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.450791                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.747129                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  77886228     42.01%     42.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18578593     10.02%     52.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14614328      7.88%     59.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12806883      6.91%     66.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11958272      6.45%     73.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11326999      6.11%     79.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15634431      8.43%     87.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10834917      5.84%     93.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11751230      6.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             185391881                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8074408     67.45%     67.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1005      0.01%     67.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     67.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 23861      0.20%     67.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     67.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     67.66% # attempts to use FU when none available (Count)
