
---------- Begin Simulation Statistics ----------
simSeconds                                   1.023477                       # Number of seconds simulated (Second)
simTicks                                 1023476932437                       # Number of ticks simulated (Tick)
finalTick                                1023476932437                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    555.91                       # Real time elapsed on the host (Second)
hostTickRate                               1841077969                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8701220                       # Number of bytes of host memory used (Byte)
simInsts                                    103509766                       # Number of instructions simulated (Count)
simOps                                      226669585                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186198                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     407744                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         76762690                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.741599                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.348438                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       305073203                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    11245                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      268086847                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 468530                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             78414841                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         179738166                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4284                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            76550826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.502076                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.732081                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19671612     25.70%     25.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4722614      6.17%     31.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4655094      6.08%     37.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6357551      8.31%     46.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13079620     17.09%     63.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5900192      7.71%     71.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8339708     10.89%     81.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7471776      9.76%     91.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6352659      8.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              76550826                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6143745     87.72%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.72% # attempts to use FU when none available (Count)
