
---------- Begin Simulation Statistics ----------
simSeconds                                   1.347598                       # Number of seconds simulated (Second)
simTicks                                 1347598162537                       # Number of ticks simulated (Tick)
finalTick                                1347598162537                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    610.38                       # Real time elapsed on the host (Second)
hostTickRate                               2207803381                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625436                       # Number of bytes of host memory used (Byte)
simInsts                                    124724854                       # Number of instructions simulated (Count)
simOps                                      224061187                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204340                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367085                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        101072390                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.810363                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.234015                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       311655589                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2462                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      287930637                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 697378                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             87596849                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         120581252                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 220                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           101059873                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.849109                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.734821                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33061792     32.72%     32.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11492525     11.37%     44.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8245684      8.16%     52.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8975247      8.88%     61.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7869010      7.79%     68.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6123206      6.06%     74.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12200882     12.07%     87.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7008575      6.94%     93.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6082952      6.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             101059873                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8083227     92.29%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.29% # attempts to use FU when none available (Count)
